"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"177","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"178","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","13","Private field 'client' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"179","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"180","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","14","Private field 'socket' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"181","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","16","Parameter 'client' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"182","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","16","Parameter 'echoSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"183","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","21","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"184","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","21","Parameter 'hostName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"185","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","21","Parameter 'portNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"186","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","24","Local variable 'endpoint' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"187","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","26","Local variable 'writer' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"188","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","27","Local variable 'reader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"189","se.lnu.http.client","src/se/lnu/http/client/SocketClient.java","3","29","Local variable 'data' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"190","se.lnu.http.exceptions","src/se/lnu/http/exceptions/InvalidPortException.java","3","10","Parameter 'string' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"191","se.lnu.http.exceptions","src/se/lnu/http/exceptions/MalformedRequestException.java","3","5","Parameter 'requestString' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"192","se.lnu.http.exceptions","src/se/lnu/http/exceptions/NotADirectoryException.java","3","5","Parameter 'string' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"193","se.lnu.http.exceptions","src/se/lnu/http/exceptions/NotADirectoryException.java","3","9","Avoid variables with short names like e","Naming Rules","ShortVariable"
"194","se.lnu.http.exceptions","src/se/lnu/http/exceptions/NotADirectoryException.java","3","9","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"195","se.lnu.http.exceptions","src/se/lnu/http/exceptions/NotStartedException.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"196","se.lnu.http.response","src/se/lnu/http/response/ContentType.java","3","13","Perhaps 'fileEndings' could be replaced by a local variable.","Design Rules","SingularField"
"197","se.lnu.http.response","src/se/lnu/http/response/ContentType.java","3","15","Parameter 'fileEndings' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"198","se.lnu.http.response","src/se/lnu/http/response/ContentType.java","3","15","Parameter 'mimeType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"199","se.lnu.http.response","src/se/lnu/http/response/ContentType.java","3","24","Parameter 'fileEnding' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"200","se.lnu.http.response","src/se/lnu/http/response/ContentType.java","3","29","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"201","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"202","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","13","Private field 'file' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"203","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"204","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","14","Private field 'watcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"205","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"206","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","15","Private field 'clientThread' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"207","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","17","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"208","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","17","Parameter 'clientThread' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"209","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","17","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"210","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","17","Parameter 'watcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"211","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","24","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"212","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","24","Parameter 'doContinue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"213","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","25","Local variable 'fileName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"214","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","26","Local variable 'parts' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"215","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","29","Local variable 'type' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"216","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","31","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"217","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","33","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"218","se.lnu.http.response","src/se/lnu/http/response/HTTP200OKFileResponse.java","3","36","Local variable 'bytes' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"219","se.lnu.http.response","src/se/lnu/http/response/HTTP400BadRequest.java","3","10","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"220","se.lnu.http.response","src/se/lnu/http/response/HTTP400BadRequest.java","3","10","Parameter 'doContinue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"221","se.lnu.http.response","src/se/lnu/http/response/HTTP400BadRequest.java","3","11","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"222","se.lnu.http.response","src/se/lnu/http/response/HTTP400BadRequest.java","3","12","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"223","se.lnu.http.response","src/se/lnu/http/response/HTTP400BadRequest.java","3","13","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"224","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","9","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"225","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","9","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"226","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","9","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"227","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","13","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"228","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","13","Parameter 'doContinue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"229","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","14","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"230","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","17","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"231","se.lnu.http.response","src/se/lnu/http/response/HTTP403Forbidden.java","3","18","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"232","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","9","Avoid unused constructor parameters such as 'url'.","Unused Code Rules","UnusedFormalParameter"
"233","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","9","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"234","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","9","Parameter 'url' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"235","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","14","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"236","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","14","Parameter 'doContinue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"237","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","15","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"238","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","16","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"239","se.lnu.http.response","src/se/lnu/http/response/HTTP404FileNotFoundResponse.java","3","17","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"240","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"241","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","10","Private field 'method' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"242","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","12","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"243","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","12","Parameter 'method' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"244","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","17","Parameter 'clientSocket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"245","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","17","Parameter 'doContinue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"246","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","18","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"247","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","21","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"248","se.lnu.http.response","src/se/lnu/http/response/HTTP405MethodNotSupportedResponse.java","3","22","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"249","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","7","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"250","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","11","Parameter 'doContinue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"251","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","11","Parameter 'length' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"252","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","11","Parameter 'type' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"253","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","13","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"254","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","14","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"255","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","16","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"256","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","17","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"257","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","17","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"258","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","21","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"259","se.lnu.http.response","src/se/lnu/http/response/HTTPResponse.java","3","21","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"260","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","16","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"261","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","17","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"262","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","18","Avoid excessively long variable names like SERVER_CONSTRUCTED","Naming Rules","LongVariable"
"263","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","18","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"264","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","19","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"265","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","20","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"266","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","21","Avoid excessively long variable names like SERVER_ACCEPT_THREAD_STOPPED","Naming Rules","LongVariable"
"267","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","21","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"268","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","26","Avoid excessively long variable names like CONNECTION_WAS_BROKEN","Naming Rules","LongVariable"
"269","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"270","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","29","Private field 'args' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"271","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","34","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"272","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","34","The user-supplied array 'args' is stored directly.","Security Code Guidelines","ArrayIsStoredDirectly"
"273","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","5","46","Found 'DU'-anomaly for variable 'port' (lines '44'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"274","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","48","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"275","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","50","Avoid variables with short names like p","Naming Rules","ShortVariable"
"276","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","50","Local variable 'p' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"277","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","2","57","System.out.print is used","Java Logging Rules","SystemPrintln"
"278","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","69","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"279","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","72","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"280","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","85","Avoid variables with short names like br","Naming Rules","ShortVariable"
"281","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","85","Local variable 'br' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"282","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","87","Local variable 'line' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"283","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","88","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"284","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","89","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"285","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","2","97","System.out.print is used","Java Logging Rules","SystemPrintln"
"286","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","2","103","System.out.print is used","Java Logging Rules","SystemPrintln"
"287","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","2","109","System.out.print is used","Java Logging Rules","SystemPrintln"
"288","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","2","115","System.out.print is used","Java Logging Rules","SystemPrintln"
"289","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","120","Parameter 'threadId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"290","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","136","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"291","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","136","Parameter 'threadId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"292","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","136","Use block level rather than method level synchronization","Design Rules","AvoidSynchronizedAtMethodLevel"
"293","se.lnu.http.view","src/se/lnu/http/view/ConsoleView.java","3","142","Parameter 'threadId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
